"imdb_id","genre"
"tt0028181","Music"
"tt0028181","Western"
"tt0028212","Crime"
"tt0028212","Thriller"
"tt0028356","Drama"
"tt0028356","Romance"
"tt0028358","Drama"
"tt0028358","Sci-Fi"
"tt0028358","War"
"tt0028378","Animation"
"tt0028378","Comedy"
"tt0028378","Family"
"tt0028445","Comedy"
"tt0028445","Drama"
"tt0028445","Romance"
"tt0028510","Drama"
"tt0028510","Western"
"tt0028726","Animation"
"tt0028726","Comedy"
"tt0028726","Family"
"tt0028773","Crime"
"tt0028773","Drama"
"tt0028773","Film-Noir"
"tt0029030","Action"
"tt0029030","Adventure"
"tt0029030","Drama"
"tt0029080","Crime"
"tt0029080","Drama"
"tt0029080","Film-Noir"
"tt0029161","Animation"
"tt0029161","Comedy"
"tt0029161","Family"
"tt0029168","Adventure"
"tt0029168","Drama"
"tt0029168","Romance"
"tt0029217","Crime"
"tt0029217","Film-Noir"
"tt0029217","Thriller"
"tt0029284","Comedy"
"tt0029284","Romance"
"tt0029339","Animation"
"tt0029339","Comedy"
"tt0029339","Family"
"tt0029440","Adventure"
"tt0029440","Drama"
"tt0029440","Family"
"tt0029511","Crime"
"tt0029511","Drama"
"tt0029511","Film-Noir"
"tt0029583","Adventure"
"tt0029583","Animation"
"tt0029583","Family"
"tt0029606","Drama"
"tt0029606","Romance"
"tt0029608","Drama"
"tt0029608","Romance"
"tt0029811","Crime"
"tt0029811","Drama"
"tt0029811","Mystery"
"tt0029843","Action"
"tt0029843","Adventure"
"tt0029843","Romance"
"tt0029844","Adventure"
"tt0029844","Drama"
"tt0029844","Family"
"tt0029855","Drama"
"tt0029855","Mystery"
"tt0029855","Romance"
"tt0029895","Drama"
"tt0029895","Western"
"tt0029927","Comedy"
"tt0029927","Family"
"tt0029943","Animation"
"tt0029943","Comedy"
"tt0029943","Family"
"tt0029992","Drama"
"tt0029992","Family"
"tt0029992","Fantasy"
"tt0030018","Comedy"
"tt0030018","Western"
"tt0030228","Action"
"tt0030228","Adventure"
"tt0030228","Crime"
"tt0030241","Comedy"
"tt0030241","Romance"
"tt0030341","Mystery"
"tt0030341","Thriller"
"tt0030448","Adventure"
"tt0030448","Animation"
"tt0030448","Comedy"
"tt0030637","Comedy"
"tt0030637","Drama"
"tt0030637","Romance"
"tt0030652","Comedy"
"tt0030947","Comedy"
"tt0030947","Musical"
"tt0031260","Crime"
"tt0031260","Drama"
"tt0031260","Film-Noir"
"tt0031313","Adventure"
"tt0031313","Drama"
"tt0031313","Music"
"tt0031322","Comedy"
"tt0031322","Family"
"tt0031322","War"
"tt0031334","Adventure"
"tt0031334","Drama"
"tt0031334","Romance"
"tt0031381","Drama"
"tt0031381","Romance"
"tt0031381","War"
"tt0031387","Comedy"
"tt0031387","Horror"
"tt0031397","Adventure"
"tt0031397","Animation"
"tt0031397","Comedy"
"tt0031536","Crime"
"tt0031536","Drama"
"tt0031536","Romance"
"tt0031580","Comedy"
"tt0031580","Drama"
"tt0031580","Family"
"tt0031593","Comedy"
"tt0031593","Drama"
"tt0031593","Romance"
"tt0031742","Adventure"
"tt0031742","Drama"
"tt0031747","Action"
"tt0031747","Western"
"tt0031762","Adventure"
"tt0031762","Drama"
"tt0031762","Romance"
"tt0031842","Action"
"tt0031842","History"
"tt0031842","Romance"
"tt0031851","Horror"
"tt0031851","Mystery"
"tt0031851","Sci-Fi"
"tt0031867","Crime"
"tt0031867","Drama"
"tt0031867","Thriller"
"tt0031971","Adventure"
"tt0031971","Drama"
"tt0031971","Western"
"tt0032071","Animation"
"tt0032071","Comedy"
"tt0032071","Family"
"tt0032138","Adventure"
"tt0032138","Family"
"tt0032138","Fantasy"
"tt0032145","Drama"
"tt0032145","Romance"
"tt0032215","Horror"
"tt0032274","Drama"
"tt0032274","Music"
"tt0032274","Western"
"tt0032283","Romance"
"tt0032283","Thriller"
"tt0032283","War"
"tt0032455","Animation"
"tt0032455","Family"
"tt0032455","Fantasy"
"tt0032484","Action"
"tt0032484","Drama"
"tt0032484","Romance"
"tt0032553","Comedy"
"tt0032553","Drama"
"tt0032553","War"
"tt0032599","Comedy"
"tt0032599","Drama"
"tt0032599","Romance"
"tt0032636","Action"
"tt0032636","Crime"
"tt0032636","Drama"
"tt0032643","Comedy"
"tt0032643","Crime"
"tt0032643","Drama"
"tt0032728","Drama"
"tt0032728","War"
"tt0032881","Drama"
"tt0032881","Family"
"tt0032881","Romance"
"tt0032910","Adventure"
"tt0032910","Animation"
"tt0032910","Comedy"
"tt0033045","Comedy"
"tt0033045","Drama"
"tt0033045","Romance"
"tt0033110","Comedy"
"tt0033110","Musical"
"tt0033110","Romance"
"tt0033124","Adventure"
"tt0033124","Family"
"tt0033149","Crime"
"tt0033149","Drama"
"tt0033149","Film-Noir"
"tt0033152","Adventure"
"tt0033152","Family"
"tt0033152","Fantasy"
"tt0033253","Drama"
"tt0033253","Western"
"tt0033314","Drama"
"tt0033563","Adventure"
"tt0033563","Animation"
"tt0033563","Drama"
"tt0033627","Drama"
"tt0033627","Thriller"
"tt0033627","War"
"tt0033654","Drama"
"tt0033654","History"
"tt0033760","Crime"
"tt0033760","Drama"
"tt0033760","Horror"
"tt0033787","Adventure"
"tt0033787","Comedy"
"tt0033787","Horror"
"tt0033802","Crime"
"tt0033802","Drama"
"tt0033802","Film-Noir"
"tt0033804","Comedy"
"tt0033804","Romance"
"tt0033836","Drama"
"tt0033836","Romance"
"tt0033868","Comedy"
"tt0033870","Crime"
"tt0033870","Film-Noir"
"tt0033870","Mystery"
"tt0033891","Comedy"
"tt0033891","Drama"
"tt0033891","Romance"
"tt0034012","Drama"
"tt0034012","Romance"
"tt0034091","Animation"
"tt0034091","Comedy"
"tt0034091","Family"
"tt0034247","Action"
"tt0034247","Adventure"
"tt0034247","Animation"
"tt0034272","Drama"
"tt0034272","History"
"tt0034272","Romance"
"tt0034274","Comedy"
"tt0034303","Comedy"
"tt0034303","Fantasy"
"tt0034303","Mystery"
"tt0034370","Drama"
"tt0034370","Romance"
"tt0034492","Adventure"
"tt0034492","Animation"
"tt0034492","Drama"
"tt0034583","Drama"
"tt0034583","Romance"
"tt0034583","War"
"tt0034613","Horror"
"tt0034613","Sci-Fi"
"tt0034862","Comedy"
"tt0034862","Drama"
"tt0034862","Music"
"tt0034881","Comedy"
"tt0034881","Fantasy"
"tt0034881","Horror"
"tt0034891","Drama"
"tt0034891","War"
"tt0034928","Action"
"tt0034928","Adventure"
"tt0034928","Family"
"tt0034948","Action"
"tt0034948","Adventure"
"tt0034948","Drama"
"tt0034968","Adventure"
"tt0035169","Comedy"
"tt0035169","Romance"
"tt0035211","Biography"
"tt0035211","Drama"
"tt0035211","Romance"
"tt0035317","Adventure"
"tt0035317","Crime"
"tt0035317","Drama"
"tt0035423","Comedy"
"tt0035423","Fantasy"
"tt0035423","Romance"
"tt0035446","Comedy"
"tt0035446","Romance"
"tt0035446","War"
"tt0035710","Comedy"
"tt0035710","Music"
"tt0035710","Romance"
"tt0035799","Adventure"
"tt0035799","War"
"tt0035958","Drama"
"tt0035958","History"
"tt0035958","War"
"tt0035966","Drama"
"tt0035966","Film-Noir"
"tt0035966","Thriller"
"tt0035996","Comedy"
"tt0035996","Musical"
"tt0036104","Film-Noir"
"tt0036104","Horror"
"tt0036104","Thriller"
"tt0036112","Drama"
"tt0036112","Romance"
"tt0036112","War"
"tt0036152","Documentary"
"tt0036152","History"
"tt0036152","War"
"tt0036160","Drama"
"tt0036160","War"
"tt0036198","Comedy"
"tt0036198","Music"
"tt0036198","Romance"
"tt0036217","Drama"
"tt0036217","Romance"
"tt0036217","War"
"tt0036241","Action"
"tt0036241","Adventure"
"tt0036241","Drama"
"tt0036384","Comedy"
"tt0036384","Romance"
"tt0036384","War"
"tt0036419","Biography"
"tt0036419","Drama"
"tt0036653","Crime"
"tt0036653","Horror"
"tt0036653","Thriller"
"tt0036847","Western"
"tt0036868","Drama"
"tt0036868","Romance"
"tt0036868","War"
"tt0036872","Comedy"
"tt0036872","Drama"
"tt0036872","Music"
"tt0036910","Biography"
"tt0036910","Drama"
"tt0036910","History"
"tt0036962","Comedy"
"tt0036962","Fantasy"
"tt0036962","Romance"
"tt0037059","Comedy"
"tt0037059","Drama"
"tt0037059","Family"
"tt0037120","Drama"
"tt0037120","Family"
"tt0037120","Sport"
"tt0037166","Adventure"
"tt0037166","Drama"
"tt0037166","Romance"
"tt0037193","Adventure"
"tt0037193","Comedy"
"tt0037193","Romance"
"tt0037367","Comedy"
"tt0037367","Drama"
"tt0037449","Drama"
"tt0037449","War"
"tt0037469","Crime"
"tt0037469","Drama"
"tt0037469","Film-Noir"
"tt0037515","Crime"
"tt0037515","Drama"
"tt0037515","Mystery"
"tt0037547","Drama"
"tt0037547","Romance"
"tt0037547","Thriller"
"tt0037557","Comedy"
"tt0037557","Romance"
"tt0037558","Drama"
"tt0037558","Romance"
"tt0037576","Adventure"
"tt0037576","Biography"
"tt0037576","Drama"
"tt0037638","Crime"
"tt0037638","Drama"
"tt0037638","Film-Noir"
"tt0037798","Crime"
"tt0037798","Drama"
"tt0037800","Drama"
"tt0037800","Romance"
"tt0037824","Biography"
"tt0037824","Drama"
"tt0037824","History"
"tt0037832","Crime"
"tt0037832","Drama"
"tt0037832","Film-Noir"
"tt0037923","Comedy"
"tt0037923","Musical"
"tt0038008","Adventure"
"tt0038008","Crime"
"tt0038008","Mystery"
"tt0038057","Crime"
"tt0038057","Drama"
"tt0038057","Film-Noir"
"tt0038107","Drama"
"tt0038120","Biography"
"tt0038120","Drama"
"tt0038120","War"
"tt0038166","Animation"
"tt0038166","Comedy"
"tt0038166","Family"
"tt0038259","Crime"
"tt0038259","Drama"
"tt0038259","Horror"
"tt0038260","Comedy"
"tt0038260","Fantasy"
"tt0038260","Musical"
"tt0038348","Drama"
"tt0038348","Fantasy"
"tt0038348","Romance"
"tt0038363","Comedy"
"tt0038363","Fantasy"
"tt0038390","Biography"
"tt0038390","Comedy"
"tt0038390","Drama"
"tt0038452","Crime"
