"title","imdb_id","titleType","startYear","endYear","genres","averageRating","numVotes","director","platform"
"Time Bandits","tt0081633","movie",1981,0,"Adventure,Comedy,Fantasy",6.9,70886,"Terry Gilliam","Max"
"Twelfth Night","tt0081668","tvMovie",1980,0,"Comedy,Drama,Romance",7.8,300,"John Gorrie","Prime Video"
"Gamera: Super Monster","tt0081675","movie",1980,0,"Family,Sci-Fi",3.6,1186,NA,"Prime Video"
"Underground Aces","tt0081681","movie",1981,0,"Comedy",4.2,351,"Robert Butler","Prime Video"
"Urban Cowboy","tt0081696","movie",1980,0,"Drama,Romance,Western",6.5,17377,"James Bridges","Paramount+"
"Windwalker","tt0081760","movie",1980,0,"Adventure,Drama,Western",6.8,1258,"Kieth Merrill","Prime Video"
"Without Warning","tt0081764","movie",1980,0,"Horror,Sci-Fi,Thriller",5.1,5065,"Greydon Clark","Prime Video"
"Christmas Evil","tt0081793","movie",1980,0,"Horror,Thriller",5.5,9032,"Lewis Jackson","Prime Video"
"Bergerac","tt0081831","tvSeries",1981,1991,"Crime,Drama,Mystery",6.9,2378,NA,"Prime Video"
"Danger Mouse","tt0081848","tvSeries",1981,1992,"Action,Adventure,Animation",7.4,4032,NA,"Netflix"
"Danger Mouse","tt0081848","tvSeries",1981,1992,"Action,Adventure,Animation",7.4,4032,NA,"Prime Video"
"Falcon Crest","tt0081858","tvSeries",1981,1990,"Drama,Romance",6.2,4382,NA,"Prime Video"
"The Fall Guy","tt0081859","tvSeries",1981,1986,"Action,Adventure,Comedy",7.1,9952,NA,"Prime Video"
"The Greatest American Hero","tt0081871","tvSeries",1981,1983,"Adventure,Comedy,Sci-Fi",7.3,6877,NA,"Prime Video"
"The Pee-Wee Herman Show","tt0081915","tvMovie",1981,0,"Comedy",8,1927,NA,"Max"
"The Smurfs","tt0081933","tvSeries",1981,1990,"Adventure,Animation,Comedy",7.2,21903,NA,"Max"
"Spider-Man","tt0081938","tvSeries",1981,1982,"Adventure,Animation,Family",6.8,2010,"Don Jurwich","Disney+"
"Absolution","tt0081975","movie",1978,0,"Drama,Mystery,Thriller",6.5,1988,"Anthony Page","Prime Video"
"Banana Joe","tt0082045","movie",1982,0,"Action,Comedy",6.3,9123,"Steno","Prime Video"
"The Burning","tt0082118","movie",1981,0,"Horror",6.3,23308,"Tony Maylam","Prime Video"
"Caveman","tt0082146","movie",1981,0,"Comedy,Romance",5.8,8818,"Carl Gottlieb","Prime Video"
"The Chosen","tt0082175","movie",1981,0,"Drama",7.2,2469,"Jeremy Kagan","Prime Video"
"Coup de Torchon","tt0082206","movie",1981,0,"Comedy,Crime,Drama",7.3,6913,"Bertrand Tavernier","Max"
"Dead & Buried","tt0082242","movie",1981,0,"Horror,Mystery",6.5,15592,"Gary Sherman","Prime Video"
"Death Wish II","tt0082250","movie",1982,0,"Action,Crime,Drama",6,18930,"Michael Winner","Prime Video"
"The Decline of Western Civilization","tt0082252","movie",1981,0,"Documentary,History,Music",7.5,5092,"Penelope Spheeris","Prime Video"
"Endless Love","tt0082329","movie",1981,0,"Drama,Romance",4.9,9967,"Franco Zeffirelli","Prime Video"
"Turkey Shoot","tt0082338","movie",1982,0,"Action,Drama,Horror",5.9,4441,"Brian Trenchard-Smith","Prime Video"
"Escape from New York","tt0082340","movie",1981,0,"Action,Adventure,Sci-Fi",7.1,162724,"John Carpenter","Prime Video"
"Evilspeak","tt0082346","movie",1981,0,"Horror",5.6,5122,"Eric Weston","Prime Video"
"Fear No Evil","tt0082367","movie",1981,0,"Horror",4.7,1848,"Frank LaLoggia","Prime Video"
"First Winter","tt0082383","short",1981,0,"Drama,History,Short",6.6,162,"John N. Smith","Prime Video"
"For Your Eyes Only","tt0082398","movie",1981,0,"Action,Adventure,Thriller",6.7,110756,"John Glen","Prime Video"
"The Fox and the Hound","tt0082406","movie",1981,0,"Adventure,Animation,Drama",7.2,104705,NA,"Disney+"
"Full Moon High","tt0082425","movie",1981,0,"Comedy,Fantasy,Horror",4.7,1676,"Larry Cohen","Prime Video"
"Galaxy of Terror","tt0082431","movie",1981,0,"Action,Adventure,Horror",5,9474,"Bruce D. Clark","Prime Video"
"Graduation Day","tt0082467","movie",1981,0,"Horror,Mystery,Thriller",4.8,5411,"Herb Freed","Prime Video"
"The Great Muppet Caper","tt0082474","movie",1981,0,"Adventure,Comedy,Crime",7.1,17246,"Jim Henson","Disney+"
"Gregory's Girl","tt0082477","movie",1980,0,"Comedy,Drama,Romance",7.1,9647,"Bill Forsyth","Prime Video"
"Cantonen Iron Kung Fu","tt0082482","movie",1979,0,"Action,Adventure",5.6,708,"Chiu Lee","Prime Video"
"Quest for Fire","tt0082484","movie",1981,0,"Adventure,Drama",7.3,24883,"Jean-Jacques Annaud","Prime Video"
"Heartland","tt0082508","movie",1979,0,"Drama,Western",7.2,1312,"Richard Pearce","Prime Video"
"Hell Night","tt0082511","movie",1981,0,"Horror,Thriller",5.6,9168,"Tom DeSimone","Prime Video"
"Hospital Massacre","tt0082527","movie",1981,0,"Horror,Thriller",5,3567,"Boaz Davidson","Prime Video"
"Night of the Zombies","tt0082559","movie",1980,0,"Horror,Sci-Fi,Thriller",4.9,6173,NA,"Prime Video"
"Killjoy","tt0082616","tvMovie",1981,0,"Mystery,Thriller",5.9,479,"John Llewellyn Moxey","Prime Video"
"Knightriders","tt0082622","movie",1981,0,"Action,Drama",6.3,5649,"George A. Romero","Prime Video"
"The Legend of the Lone Ranger","tt0082648","movie",1981,0,"Action,Adventure,Drama",4.9,2608,"William A. Fraker","Prime Video"
"The Mad Cold-Blooded Murder","tt0082693","movie",1981,0,"Action",4.3,18,"To-Bong Law","Prime Video"
"Samurai Reincarnation","tt0082699","movie",1981,0,"Action,Fantasy,Horror",6.5,1301,"Kinji Fukasaku","Prime Video"
"Modern Romance","tt0082764","movie",1981,0,"Comedy,Romance",7,4945,"Albert Brooks","Prime Video"
"My Dinner with Andre","tt0082783","movie",1981,0,"Comedy,Drama",7.7,27315,"Louis Malle","Max"
"New Year's Evil","tt0082806","movie",1980,0,"Horror,Thriller",4.9,4015,"Emmett Alston","Prime Video"
"On Golden Pond","tt0082846","movie",1981,0,"Drama",7.6,35834,"Mark Rydell","Prime Video"
"The Prowler","tt0082951","movie",1981,0,"Horror,Mystery,Thriller",5.9,13520,"Joseph Zito","Prime Video"
"The Pursuit of D.B. Cooper","tt0082958","movie",1981,0,"Adventure,Crime,Drama",5.6,1506,NA,"Prime Video"
"Raiders of the Lost Ark","tt0082971","movie",1981,0,"Action,Adventure",8.4,1059660,"Steven Spielberg","Paramount+"
"Raiders of the Lost Ark","tt0082971","movie",1981,0,"Action,Adventure",8.4,1059660,"Steven Spielberg","Prime Video"
"Roadgames","tt0083000","movie",1981,0,"Mystery,Thriller",6.6,9759,"Richard Franklin","Prime Video"
"Saturday the 14th","tt0083033","movie",1981,0,"Comedy,Fantasy,Horror",4.6,5375,"Howard R. Cohen","Prime Video"
"Silsila","tt0083081","movie",1981,0,"Drama,Family,Romance",7.2,3247,"Yash Chopra","Prime Video"
"Do You Remember Dolly Bell?","tt0083089","movie",1981,0,"Comedy,Drama,Romance",7.5,6950,"Emir Kusturica","Prime Video"
"Southern Comfort","tt0083111","movie",1981,0,"Action,Thriller",7.1,22791,"Walter Hill","Prime Video"
"Sweet Sixteen","tt0083146","movie",1983,0,"Crime,Horror,Mystery",5.1,2672,"Jim Sotos","Prime Video"
"They All Laughed","tt0083189","movie",1981,0,"Comedy,Romance",6.2,3274,"Peter Bogdanovich","Max"
"This Is Elvis","tt0083193","movie",1981,0,"Biography,Documentary,Music",7.6,1681,NA,"Prime Video"
"The Fantastic Adventures of Unico","tt0083258","movie",1981,0,"Adventure,Animation,Family",7.3,925,NA,"Prime Video"
"Cagney & Lacey","tt0083395","tvSeries",1981,1988,"Crime,Drama,Mystery",6.8,5352,NA,"Prime Video"
"Cheers","tt0083399","tvSeries",1982,1993,"Comedy,Drama",8,64023,NA,"Hulu"
"Cheers","tt0083399","tvSeries",1982,1993,"Comedy,Drama",8,64023,NA,"Paramount+"
"Cheers","tt0083399","tvSeries",1982,1993,"Comedy,Drama",8,64023,NA,"Prime Video"
"Family Ties","tt0083413","tvSeries",1982,1989,"Comedy,Drama,Family",7.3,20935,NA,"Paramount+"
"Family Ties","tt0083413","tvSeries",1982,1989,"Comedy,Drama,Family",7.3,20935,NA,"Prime Video"
"The Gentle Touch","tt0083420","tvSeries",1980,1984,"Crime,Drama",6.6,325,NA,"Prime Video"
"Newhart","tt0083455","tvSeries",1982,1990,"Comedy",7.8,8676,NA,"Prime Video"
"Remington Steele","tt0083470","tvSeries",1982,1987,"Action,Adventure,Comedy",7.3,10291,NA,"Prime Video"
"Scooby-Doo and Scrappy-Doo","tt0083475","tvSeries",1979,1983,"Adventure,Animation,Comedy",6.3,4657,NA,"Max"
"Spider-Man and His Amazing Friends","tt0083481","tvSeries",1981,1986,"Action,Animation,Comedy",7.2,4233,NA,"Disney+"
"St. Elsewhere","tt0083483","tvSeries",1982,1988,"Comedy,Drama",8,5428,NA,"Disney+"
"St. Elsewhere","tt0083483","tvSeries",1982,1988,"Comedy,Drama",8,5428,NA,"Hulu"
"48 Hrs.","tt0083511","movie",1982,0,"Action,Comedy,Crime",6.9,88039,"Walter Hill","Paramount+"
"Airplane II: The Sequel","tt0083530","movie",1982,0,"Comedy,Sci-Fi",6.2,58049,"Ken Finkleman","Prime Video"
"Attack Force Z","tt0083591","movie",1981,0,"Action,Drama,History",5.4,2853,"Tim Burstall","Prime Video"
"Barbarosa","tt0083619","movie",1982,0,"Comedy,Drama,Romance",6.3,2169,"Fred Schepisi","Prime Video"
"Blood Tide","tt0083661","movie",1982,0,"Adventure,Horror,Thriller",4.3,2684,"Richard Jefferies","Prime Video"
"Class of 1984","tt0083739","movie",1982,0,"Action,Crime,Drama",6.5,13791,"Mark L. Lester","Prime Video"
"The Dark Crystal","tt0083791","movie",1982,0,"Adventure,Family,Fantasy",7.1,73526,NA,"Hulu"
"The Dark Crystal","tt0083791","movie",1982,0,"Adventure,Family,Fantasy",7.1,73526,NA,"Prime Video"
"Deathtrap","tt0083806","movie",1982,0,"Comedy,Crime,Drama",7,16143,"Sidney Lumet","Prime Video"
"Eating Raoul","tt0083869","movie",1982,0,"Comedy,Crime",6.8,9412,"Paul Bartel","Max"
"Evil Under the Sun","tt0083908","movie",1982,0,"Crime,Drama,Mystery",7,21706,"Guy Hamilton","Prime Video"
"Experience Preferred... But Not Essential","tt0083911","movie",1982,0,"Drama",7,282,"Peter Duffell","Prime Video"
"Fanny and Alexander","tt0083922","movie",1982,0,"Drama",8.1,68631,"Ingmar Bergman","Max"
"Fitzcarraldo","tt0083946","movie",1982,0,"Adventure,Drama",8,39889,"Werner Herzog","Prime Video"
"Forbidden World","tt0083959","movie",1982,0,"Horror,Sci-Fi",5.1,6672,"Allan Holzman","Prime Video"
"Frances","tt0083967","movie",1982,0,"Biography,Drama,Romance",7.2,8836,"Graeme Clifford","Prime Video"
"Grease 2","tt0084021","movie",1982,0,"Comedy,Music,Musical",4.6,39344,"Patricia Birch","Paramount+"
"Hit and Run","tt0084078","movie",1982,0,"Mystery",4.9,114,"Charles Braverman","Prime Video"
"Inseminoid","tt0084090","movie",1981,0,"Horror,Sci-Fi",4,4544,"Norman J. Warren","Prime Video"
"Kung Fu from Beyond the Grave","tt0084225","movie",1982,0,"Action,Fantasy,Horror",6,228,"Chiu Lee","Prime Video"
"The Last Unicorn","tt0084237","movie",1982,0,"Adventure,Animation,Drama",7.3,30685,NA,"Prime Video"
"Manhattan Baby","tt0084298","movie",1982,0,"Horror",4.8,3401,"Lucio Fulci","Prime Video"
"Moonlighting","tt0084354","movie",1982,0,"Drama",7.3,3627,"Jerzy Skolimowski","Prime Video"
"Mother Lode","tt0084359","movie",1982,0,"Adventure,Drama,Mystery",5.7,1750,NA,"Prime Video"
"The New Barbarians","tt0084424","movie",1983,0,"Action,Sci-Fi,Thriller",4.6,3209,"Enzo G. Castellari","Prime Video"
"P'tang, Yang, Kipperbang","tt0084459","tvMovie",1982,0,"Comedy",7.1,1058,"Michael Apted","Prime Video"
"Permanent Vacation","tt0084488","movie",1980,0,"Comedy,Drama",6.1,11052,"Jim Jarmusch","Max"
"Q","tt0084556","movie",1982,0,"Crime,Fantasy,Mystery",6,9976,"Larry Cohen","Prime Video"
"Querelle","tt0084565","movie",1982,0,"Drama",6.6,7921,"Rainer Werner Fassbinder","Max"
"Querelle","tt0084565","movie",1982,0,"Drama",6.6,7921,"Rainer Werner Fassbinder","Prime Video"
"Richard Pryor: Live on the Sunset Strip","tt0084597","movie",1982,0,"Comedy,Documentary",7.6,4532,"Joe Layton","Prime Video"
"The Secret of NIMH","tt0084649","movie",1982,0,"Adventure,Animation,Drama",7.5,46770,"Don Bluth","Prime Video"
"The Slumber Party Massacre","tt0084695","movie",1982,0,"Horror",5.6,19216,"Amy Holden Jones","Prime Video"
"Smithereens","tt0084698","movie",1982,0,"Drama,Music",6.7,2795,"Susan Seidelman","Max"
"Smithereens","tt0084698","movie",1982,0,"Drama,Music",6.7,2795,"Susan Seidelman","Prime Video"
"Star Trek II: The Wrath of Khan","tt0084726","movie",1982,0,"Action,Adventure,Sci-Fi",7.7,131400,"Nicholas Meyer","Paramount+"
"Still of the Night","tt0084732","movie",1982,0,"Crime,Drama,Mystery",6,6648,"Robert Benton","Prime Video"
"Swamp Thing","tt0084745","movie",1982,0,"Horror,Sci-Fi",5.3,17266,"Wes Craven","Prime Video"
"The Sword and the Sorcerer","tt0084749","movie",1982,0,"Action,Adventure,Fantasy",5.5,7964,"Albert Pyun","Prime Video"
"Sword of the Valiant: The Legend of Sir Gawain and the Green Knight","tt0084750","movie",1984,0,"Action,Adventure,Fantasy",4.4,2579,"Stephen Weeks","Prime Video"
"They Call Me Bruce?","tt0084786","movie",1982,0,"Action,Comedy",5.6,1917,"Elliott Hong","Prime Video"
"Trail of the Pink Panther","tt0084814","movie",1982,0,"Comedy,Crime,Mystery",4.8,11520,"Blake Edwards","Max"
"Tron","tt0084827","movie",1982,0,"Action,Adventure,Sci-Fi",6.7,131886,"Steven Lisberger","Disney+"
"Venom","tt0084854","movie",1981,0,"Horror,Thriller",5.8,3419,NA,"Prime Video"
"Wrong Is Right","tt0084920","movie",1982,0,"Comedy,Drama,Thriller",5.6,2326,"Richard Brooks","Prime Video"
"Duel to the Death","tt0084924","movie",1983,0,"Action,Comedy,Drama",7.2,2460,"Siu-Tung Ching","Prime Video"
"Zapped!","tt0084945","movie",1982,0,"Comedy,Fantasy,Sci-Fi",4.9,8039,"Robert J. Rosenthal","Prime Video"
"Blackadder","tt0084988","tvSeries",1982,1983,"Comedy",8,41913,NA,"Hulu"
"Blackadder","tt0084988","tvSeries",1982,1983,"Comedy",8,41913,NA,"Prime Video"
"Inspector Gadget","tt0085033","tvSeries",1983,2023,"Action,Adventure,Animation",6.8,23976,NA,"Paramount+"
"Jane Eyre","tt0085037","tvMiniSeries",1983,1983,"Drama,Romance",8,3819,"Julian Amyes","Prime Video"
"Reading Rainbow","tt0085075","tvSeries",1983,2006,"Animation,Comedy,Drama",8.4,5370,NA,"Prime Video"
"10 to Midnight","tt0085121","movie",1983,0,"Crime,Drama,Thriller",6.3,9799,"J. Lee Thompson","Prime Video"
"1990: The Bronx Warriors","tt0085124","movie",1982,0,"Action,Sci-Fi,Thriller",5.2,4263,"Enzo G. Castellari","Prime Video"
"L'Argent","tt0085180","movie",1983,0,"Crime,Drama",7.4,12311,"Robert Bresson","Max"
"Ator, the Fighting Eagle","tt0085183","movie",1982,0,"Action,Adventure,Fantasy",3.3,3037,"Joe D'Amato","Prime Video"
"Bad Boys","tt0085210","movie",1983,0,"Crime,Drama,Thriller",7.2,17665,"Rick Rosenthal","Prime Video"
"The Being","tt0085224","movie",1981,0,"Horror,Sci-Fi",4.4,2034,"Jackie Kong","Prime Video"
"The Big Chill","tt0085244","movie",1983,0,"Comedy,Drama",7.1,43277,"Lawrence Kasdan","Max"
"Brainstorm","tt0085271","movie",1983,0,"Sci-Fi,Thriller",6.4,13508,"Douglas Trumbull","Prime Video"
"A Christmas Story","tt0085334","movie",1983,0,"Comedy,Family",7.9,172753,"Bob Clark","Max"
"Cocaine: One Man's Seduction","tt0085350","tvMovie",1983,0,"Drama",7,577,"Paul Wendkos","Prime Video"
"Conquest","tt0085356","movie",1983,0,"Action,Adventure,Fantasy",5.2,2975,"Lucio Fulci","Prime Video"
"Cross Creek","tt0085380","movie",1983,0,"Biography,Drama,Romance",6.9,2176,"Martin Ritt","Prime Video"
"Curse of the Pink Panther","tt0085384","movie",1983,0,"Comedy,Crime,Mystery",4.3,6876,"Blake Edwards","Max"
"Curtains","tt0085385","movie",1983,0,"Horror,Mystery,Thriller",5.6,6053,"Richard Ciupka","Prime Video"
"Fire and Ice","tt0085542","movie",1983,0,"Adventure,Animation,Fantasy",6.5,13300,"Ralph Bakshi","Prime Video"
"Flashdance","tt0085549","movie",1983,0,"Drama,Music,Romance",6.2,61047,"Adrian Lyne","Paramount+"
"Gabriela","tt0085575","movie",1983,0,"Comedy,Drama,Romance",6.2,1343,"Bruno Barreto","Prime Video"
"Gorky Park","tt0085615","movie",1983,0,"Crime,Drama,Mystery",6.7,16792,"Michael Apted","Prime Video"
"Warriors of the Year 2072","tt0085627","movie",1984,0,"Action,Sci-Fi,Thriller",4.8,1828,"Lucio Fulci","Prime Video"
"Hercules","tt0085672","movie",1983,0,"Adventure,Fantasy,History",4.1,4548,"Luigi Cozzi","Prime Video"
"The Hound of the Baskervilles","tt0085692","tvMovie",1983,0,"Crime,Horror,Mystery",6.5,1609,"Douglas Hickox","Prime Video"
"The House on Sorority Row","tt0085694","movie",1982,0,"Horror,Mystery,Thriller",5.9,10454,"Mark Rosman","Prime Video"
"Jaws 3-D","tt0085750","movie",1983,0,"Adventure,Horror,Thriller",3.7,49729,"Joe Alves","Netflix"
"The Jigsaw Man","tt0085755","movie",1983,0,"Thriller",5.1,2151,"Terence Young","Prime Video"
"The King of Comedy","tt0085794","movie",1982,0,"Comedy,Crime,Drama",7.8,123665,"Martin Scorsese","Hulu"
"The King of Comedy","tt0085794","movie",1982,0,"Comedy,Crime,Drama",7.8,123665,"Martin Scorsese","Prime Video"
"Losin' It","tt0085868","movie",1982,0,"Comedy,Drama",4.9,5424,"Curtis Hanson","Prime Video"
"The Loveless","tt0085872","movie",1981,0,"Drama",6,3129,NA,"Prime Video"
"The Man Who Loved Women","tt0085891","movie",1983,0,"Comedy,Drama,Romance",5.3,2638,"Blake Edwards","Prime Video"
"Mashaal","tt0085912","movie",1984,0,"Action,Drama,Family",7.2,971,"Yash Chopra","Prime Video"
"Mickey's Christmas Carol","tt0085936","short",1983,0,"Animation,Comedy,Family",8,16196,"Burny Mattinson","Disney+"
"Mr. Mom","tt0085970","movie",1983,0,"Comedy,Drama",6.6,29102,"Stan Dragoti","Prime Video"
"Octopussy","tt0086034","movie",1983,0,"Action,Adventure,Thriller",6.5,115478,"John Glen","Prime Video"
"One Dark Night","tt0086050","movie",1982,0,"Horror",5.6,4010,NA,"Prime Video"
"The Outsiders","tt0086066","movie",1983,0,"Crime,Drama",7,101998,"Francis Ford Coppola","Paramount+"
"Return of the Jedi","tt0086190","movie",1983,0,"Action,Adventure,Fantasy",8.3,1147651,"Richard Marquand","Disney+"
"Risky Business","tt0086200","movie",1983,0,"Comedy,Crime,Drama",6.8,102754,"Paul Brickman","Paramount+"
"Runners","tt0086219","movie",1983,0,"Drama",5.7,236,"Charles Sturridge","Prime Video"
"Running Brave","tt0086220","movie",1983,0,"Biography,Drama,Sport",6.7,791,"Donald Shebib","Prime Video"
"Sahara","tt0086232","movie",1983,0,"Adventure,Drama",4.9,2120,NA,"Prime Video"
"Scarface","tt0086250","movie",1983,0,"Crime,Drama",8.3,945315,"Brian De Palma","Netflix"
"The Scarlet and the Black","tt0086251","tvMovie",1983,0,"Drama,History,War",7.5,3906,"Jerry London","Prime Video"
"Screwballs","tt0086264","movie",1983,0,"Comedy",4.6,3829,"Rafal Zielinski","Prime Video"
"Siege","tt0086276","movie",1983,0,"Crime,Drama,Thriller",6.6,1382,NA,"Prime Video"
"Kids from Shaolin","tt0086301","movie",1984,0,"Action,Comedy",6.2,1821,"Hsin-Yen Chang","Prime Video"
"Shaolin vs. Lama","tt0086304","movie",1983,0,"Action,Drama",7,756,"Tso Nam Lee","Prime Video"
"Silkwood","tt0086312","movie",1983,0,"Biography,Drama,History",7.1,23179,"Mike Nichols","Disney+"
"Silkwood","tt0086312","movie",1983,0,"Biography,Drama,History",7.1,23179,"Mike Nichols","Hulu"
"Sleepaway Camp","tt0086320","movie",1983,0,"Horror",6.2,40183,"Robert Hiltzik","Prime Video"
"The Ark of the Sun God","tt0086339","movie",1984,0,"Action,Adventure,Crime",4.9,482,"Antonio Margheriti","Prime Video"
"Sorceress","tt0086340","movie",1982,0,"Action,Adventure,Fantasy",4.4,2851,"Jack Hill","Prime Video"
"Space Raiders","tt0086345","movie",1983,0,"Action,Adventure,Sci-Fi",4.5,1744,"Howard R. Cohen","Prime Video"
"Strange Brew","tt0086373","movie",1983,0,"Comedy,Crime,Sci-Fi",6.6,19177,NA,"Prime Video"
"Superman III","tt0086393","movie",1983,0,"Action,Adventure,Comedy",5,76495,"Richard Lester","Max"
"Superman III","tt0086393","movie",1983,0,"Action,Adventure,Comedy",5,76495,"Richard Lester","Prime Video"
"Tender Mercies","tt0086423","movie",1983,0,"Drama,Music",7.3,12433,"Bruce Beresford","Prime Video"
"Terms of Endearment","tt0086425","movie",1983,0,"Comedy,Drama",7.4,67237,"James L. Brooks","Prime Video"
"To Be or Not to Be","tt0086450","movie",1983,0,"Comedy,Drama,War",6.8,12323,"Alan Johnson","Max"
"Trading Places","tt0086465","movie",1983,0,"Comedy",7.5,171239,"John Landis","Paramount+"
"Tuareg: Desert Warrior","tt0086484","movie",1984,0,"Action,Adventure",5.5,561,"Enzo G. Castellari","Prime Video"
"Twilight Time","tt0086490","movie",1982,0,"Drama,Family",6,240,"Goran Paskaljevic","Prime Video"
"Twilight Zone: The Movie","tt0086491","movie",1983,0,"Horror,Sci-Fi",6.4,42382,NA,"Prime Video"
"Uncommon Valor","tt0086508","movie",1983,0,"Action,Drama,Thriller",6.3,11894,"Ted Kotcheff","Paramount+"
"Under Fire","tt0086510","movie",1983,0,"Drama,War",7,8741,"Roger Spottiswoode","Prime Video"
"WarGames","tt0086567","movie",1983,0,"Action,Drama,Sci-Fi",7.1,114343,"John Badham","Max"
"Suburbia","tt0086589","movie",1983,0,"Drama,Thriller",6.9,6243,"Penelope Spheeris","Prime Video"
"Winners & Sinners","tt0086605","movie",1983,0,"Action,Comedy,Crime",6.6,5899,"Sammo Kam-Bo Hung","Prime Video"
"The Year of Living Dangerously","tt0086617","movie",1982,0,"Drama,Romance,War",7.1,23474,"Peter Weir","Prime Video"
"Yentl","tt0086619","movie",1983,0,"Drama,Musical,Romance",6.6,16405,"Barbra Streisand","Prime Video"
"'Allo 'Allo!","tt0086659","tvSeries",1982,1992,"Comedy,History,War",8.4,27636,NA,"Prime Video"
"Guest from the Future","tt0086723","tvMiniSeries",1984,1984,"Adventure,Family,Sci-Fi",8,2881,NA,"Prime Video"
"Highway to Heaven","tt0086730","tvSeries",1984,1989,"Drama,Fantasy",6.8,6844,NA,"Prime Video"
"Murder, She Wrote","tt0086765","tvSeries",1984,1996,"Crime,Drama,Mystery",7.2,30542,NA,"Prime Video"
"The New Scooby-Doo Mysteries","tt0086767","tvSeries",1984,1984,"Adventure,Animation,Comedy",7.2,3121,NA,"Max"
"Night Court","tt0086770","tvSeries",1984,1992,"Comedy",7.7,18482,NA,"Prime Video"
"Robin Hood","tt0086791","tvSeries",1984,1986,"Action,Drama,Fantasy",8.4,5167,NA,"Prime Video"
"Thomas & Friends","tt0086815","tvSeries",1984,2021,"Adventure,Animation,Comedy",6.5,6981,NA,"Netflix"
"Thomas & Friends","tt0086815","tvSeries",1984,2021,"Adventure,Animation,Comedy",6.5,6981,NA,"Prime Video"
"Who's the Boss?","tt0086827","tvSeries",1984,1992,"Comedy,Romance",6.6,16086,NA,"Hulu"
"All of Me","tt0086873","movie",1984,0,"Comedy,Fantasy,Romance",6.7,20285,"Carl Reiner","Prime Video"
"Another Country","tt0086904","movie",1984,0,"Biography,Drama,Romance",7,7253,"Marek Kanievska","Prime Video"
"Beverly Hills Cop","tt0086960","movie",1984,0,"Action,Comedy,Crime",7.4,220701,"Martin Brest","Paramount+"
"Blood Simple","tt0086979","movie",1984,0,"Crime,Drama,Thriller",7.5,108210,NA,"Max"
"The Bounty","tt0086993","movie",1984,0,"Adventure,Drama,History",7,32211,"Roger Donaldson","Prime Video"
"Breakin' 2: Electric Boogaloo","tt0086999","movie",1984,0,"Comedy,Drama,Musical",5.2,4957,"Sam Firstenberg","Prime Video"
"A Breed Apart","tt0087001","movie",1984,0,"Action,Drama",5.6,1983,"Philippe Mora","Prime Video"
"The Burning Bed","tt0087010","tvMovie",1984,0,"Biography,Crime,Drama",7.2,3598,"Robert Greenwald","Prime Video"
"C.H.U.D.","tt0087015","movie",1984,0,"Horror,Sci-Fi",5.6,14447,"Douglas Cheek","Prime Video"
"Cannonball Run II","tt0087032","movie",1984,0,"Action,Comedy",5.1,17881,NA,"Prime Video"
"Children of the Corn","tt0087050","movie",1984,0,"Horror,Thriller",5.6,59292,"Fritz Kiersch","Prime Video"
"A Christmas Carol","tt0087056","tvMovie",1984,0,"Drama,Family,Fantasy",7.8,19565,"Clive Donner","Hulu"
"A Christmas Carol","tt0087056","tvMovie",1984,0,"Drama,Family,Fantasy",7.8,19565,"Clive Donner","Paramount+"
"The Company of Wolves","tt0087075","movie",1984,0,"Drama,Fantasy,Horror",6.6,19355,"Neil Jordan","Prime Video"
"The Cotton Club","tt0087089","movie",1984,0,"Crime,Drama,Music",6.5,20152,"Francis Ford Coppola","Prime Video"
"Deathstalker","tt0087127","movie",1983,0,"Action,Adventure,Fantasy",4.6,6765,"James Sbardellati","Prime Video"
"Dangerous Moves","tt0087144","movie",1984,0,"Drama,Sport,Thriller",6.6,1550,"Richard Dembo","Prime Video"
"The Dollmaker","tt0087160","tvMovie",1984,0,"Drama",7.5,1064,"Daniel Petrie","Prime Video"
"Dreamscape","tt0087175","movie",1984,0,"Action,Adventure,Horror",6.3,18747,"Joseph Ruben","Prime Video"
"Dune","tt0087182","movie",1984,0,"Action,Adventure,Sci-Fi",6.3,184302,"David Lynch","Max"
"The Evil That Men Do","tt0087222","movie",1984,0,"Action,Drama,Thriller",5.9,4927,"J. Lee Thompson","Prime Video"
"The Ewok Adventure","tt0087225","tvMovie",1984,0,"Adventure,Family,Fantasy",5.3,12864,"John Korty","Disney+"
"Fear City","tt0087247","movie",1984,0,"Crime,Drama,Mystery",5.7,4628,"Abel Ferrara","Prime Video"
"Final Justice","tt0087258","movie",1984,0,"Action,Crime,Drama",2.3,3550,"Greydon Clark","Prime Video"
"Firestarter","tt0087262","movie",1984,0,"Action,Horror,Sci-Fi",6.1,37992,"Mark L. Lester","Max"
"Footloose","tt0087277","movie",1984,0,"Drama,Music,Romance",6.6,96345,"Herbert Ross","Paramount+"
"Frankenweenie","tt0087291","short",1984,0,"Comedy,Horror,Sci-Fi",7.2,13844,"Tim Burton","Disney+"
"George Stevens: A Filmmaker's Journey","tt0087322","movie",1984,0,"Biography,Documentary",7.7,504,"George Stevens Jr.","Hulu"
"George Stevens: A Filmmaker's Journey","tt0087322","movie",1984,0,"Biography,Documentary",7.7,504,"George Stevens Jr.","Max"
"Gremlins","tt0087363","movie",1984,0,"Comedy,Fantasy,Horror",7.3,257325,"Joe Dante","Max"
