Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Z-Score (Budget),Box Office Revenue,Z-Score (Revenue)
Django Unchained,2012-12-25,https://en.wikipedia.org/wiki/Django_Unchained,Action,Drama,Quentin Tarantino,,Christoph Waltz,Jamie Foxx,Leonardo DiCaprio,Samuel L. Jackson,Bruce Dern,100000000.00,1.04,425400000.00,1.49
Dolphin Tale 2,2014-09-12,https://en.wikipedia.org/wiki/Dolphin_Tale_2,Family,,Charles Martin Smith,,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,36000000.00,-0.26,57800000.00,-0.51
Don't Breathe,2016-08-26,https://en.wikipedia.org/wiki/Don%2527t_Breathe_(2016_film),Thriller,,Fede Alvarez,,Dylan Minnette,Stephen Lang,Daniel Zovatto,,,9900000.00,-0.79,28300000.00,-0.67
Dr. Seuss' The Lorax,2012-03-02,https://en.wikipedia.org/wiki/The_Lorax_(film),Family,,Chris Renaud,,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,70000000.00,0.43,348800000.00,1.07
Dracula Untold,2014-10-10,https://en.wikipedia.org/wiki/Dracula_Untold,Drama,Horror,Gary Shore,,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,70000000.00,0.43,217100000.00,0.36
Draft Day,2014-04-07,https://en.wikipedia.org/wiki/Draft_Day,Drama,Sports,Ivan Reitman,,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,25000000.00,-0.49,29500000.00,-0.67
Dragon Blade,2015-02-18,https://en.wikipedia.org/wiki/Dragon_Blade_(film),Action,,Daniel Lee,,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,65000000.00,0.33,120000000.00,-0.17
Dumb and Dumber To,2014-11-14,https://en.wikipedia.org/wiki/Dumb_and_Dumber_To,Comedy,,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,,50000000.00,0.02,169800000.00,0.10
Earth to Echo,2014-06-14,https://en.wikipedia.org/wiki/Earth_to_Echo,Sci-Fi,Family,Dave Green,,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,,13000000.00,-0.73,45300000.00,-0.58
Eddie the Eagle,2016-02-26,https://en.wikipedia.org/wiki/Eddie_the_Eagle_(film),Drama,Comedy,Dexter Fletcher,,Taron Egerton,Christopher Walken,Hugh Jackman,,,23000000.00,-0.53,46200000.00,-0.58
Edge of Tomorrow,2014-05-28,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film),Action,Sci-Fi,Doug Liman,,Tom Cruise,Emily Blunt,,,,178000000.00,2.62,370500000.00,1.19
Elysium,2013-08-09,https://en.wikipedia.org/wiki/Elysium_(film),Sci-Fi,,Neill Blomkamp,,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,115000000.00,1.34,286100000.00,0.73
Embrace of the Serpent,2015-05-15,https://en.wikipedia.org/wiki/Embrace_of_the_Serpent,Adventure,Drama,Ciro Guerra,,Jan Bijvoet,Nilbio Torres,Antonio Bolívar,,,1400000.00,-0.96,2800000.00,-0.81
End of Watch,2012-09-21,https://en.wikipedia.org/wiki/End_of_Watch,Action,Drama,David Ayer,,Jake Gyllenhaal,Michael Peña,Anna Kendrick,Frank Grillo,America Ferrera,7000000.00,-0.85,48100000.00,-0.57
